Table 2: Performance against the 4.0 strategic pillars,Column
Centum 4.0 Objective,Actual Performance in the 2020/2021 Financial Year
"Return and Dividend payout:
Generate a minimum return on equity of 20%.
1. Optimize dividend payout to the higher of 30%
of the cash annuity income and the previous
2. year’s dividend income.","We achieved an average gross return on equity of -6% in FY2020/2021
as detailed below. This was against the backdrop of Covid 19 pandemic
1. which curtailed business activity and dampened portfolio performance.
Portfolio Class Mar-21 Mar-20
Private Equity Portfolio (6%) 13%
Real Estate Portfolio (9%) (2%)
Marketable Securities 12% 8%
Gross portfolio weighted return (6%) 5%
We have paid KES 1.6 billion in dividends over the past two years and the
board has recommended an additional payment of KES 219 million.
2."
"Capital structure and liquidity:
Repayment of all long-term borrowings.
1. Enhance of high yield portfolio to generate
sustainable annuity cash income that covers
2. fixed obligations","We began the year with a KES 6.6 billion public bond that matured in
June 2020 and we fully redeemed the debt. Thus we have reduced long
1. term debt from KES 16 billion in March 2019 to KES 3 billion in March
2021.
We have increased the Marketable Securities Portfolio values from KES
4.1 billion in March 2019 to KES 7.5 billion in March 2021 in line with our
2. strategic objectives.
Going forward, we shall liquidate mature businesses in our Private
Equity portfolio and redeploy the proceeds to the Marketable Securities
3. Portfolio in order to enhance a stable stream of cash returns that fully
cover operating expenses, dividend distributions and reinvestments in
the Growth portfolio.
We are also seeking new investment opportunities for our growth
portfolio that meet our relative profitability targets measured by Internal
4. Rate of Return and the Absolute return targets measure by the Net
Present Value.
We are also working on rebalancing the portfolio and will seek to reduce
our holdings in the real estate portfolio so as to reduce concentration
5. risk."
"Operating costs
Maintain an average operating cost to cash
annuity income ratio at a maximum of 30%.
1.","In the period to March 2021, we achieved 44% Cost-to-income ratio (vs
50% in FY2020). With enhanced income and cost rationalization, we are
1. on course to achieving less than 30% cost to income ratio."
"Portfolio focus
Maintain focus on two portfolios with target asset
allocations as follows:
1 .
 Growth Portfolio 80 - 90% split as:
• Real estate: 45%-55%
• Private equity: 30%-40%
 Marketable securities: 10%-20%","At close of March 2021, our portfolio allocation was:
 Growth Portfolio 84% split as:
1.
• Real estate: 63.5%
• Private equity: 20.5%
 Marketable securities: 16%
We are actively seeking to rebalance the portfolio through monetization
of mature assets and redeployment of proceeds. Thus, our 24 months
outlook on the portfolio composition is:
 Growth Portfolio 85% split as:
• Real estate: 55%
• Private equity: 30%
 Marketable securities: 15%"
