"2010
Shs’000"
"1,038,257"
"(122,326 )"
"(77,988 )"
-
"(46,940 )"
"(247,254 )"
"392,882"
"1,183,885"
"(90,128 )"
"1,093,757"
"(538,965 )"
"(29,980 )"
"18,961"
"996,361"
"446,377"
"1,540,134"
Shs 1.99
