Centum 3.0 Objective,Actual Performance over 3.0
"Earn a return of 35% over the
strategy period","The aggregate asset return over the strategy period was 32% with the performance per asset class as
follows:
Gross Return over Centum 3.0 (%)
Private Equity 31%
Real Estate 29%
Marketable Securities 39%
Development -1%
Aggregate Return 32%
The performance of the Private Equity and Real Estate asset class was 31% and 29% respectively as
opposed to the target 35% return. The marketable securities portfolio performance was 39% and
performed even better when tracked against comparable market indexes.
The performance of the Development portfolio was disappointing and significantly below expectations.
The reasons for the disappointing performance range from the challenges of developing and scaling
up greenfield ventures to significant delays to the uncertainties that we have faced in the power
development projects. I will discuss this in further detail in the business commentary section.
We have picked up the lessons of what has worked well and what has not and applied them in the
Centum 4.0 strategy. The major lesson from Centum 3.0 was that greenfield business and project
development requires a significantly longer period than we had initially anticipated and that the actual
risks are not necessarily aligned with our risk appetite."
"To focus and build capabilities
in eight sectors, namely:
Financial Services
Fast-moving consumer goods
Real Estate
Power
Education
Agriculture
Health Care
Information Communication
and Technology (ICT).","We are active in six of the eight sectors, and we do not yet have a portfolio presence in health care and
information communication and technology (ICT).
The initial approach of investing in health care was through the establishment of a greenfield venture
in partnership with a very successful international health care company. However, following a review
of the performance of the Centum 3.0 strategy and, in particular, a review of the performance of our
development portfolio we made a decision not to pursue a greenfield as a market entry strategy. We
will, however, seek opportunities in this sector as part of our Private Equity portfolio in opportunities
that are aligned to our investment criteria.
We evaluated a number of buy-out and growth capital opportunities in the ICT sector in the period, but
we did not close on any as none met our investment criteria. We, however, hope to make investments
in this sector within the Centum 4.0 period."
"Scale the assets to
Kshs 120 Billion","We closed Centum 3.0 with an asset base of Kshs 71.6 Billion up from Kshs 28.8 Billion, a 149%
growth. The Centum 3.0 strategy had assumed firstly, that we would take on a significantly larger
level of borrowing than we eventually ended up with. Secondly, that we would continue with a zero-
dividend policy. We resumed dividend payment in 2015/2016 and have to date paid out Kshs 2.3
Billion in dividends. Thirdly, that market conditions would have been significantly better than what was
experienced. Finally, that the Development Portfolio would have performed significantly better than it
did."
Brand,"We continued to develop the Centum brand, and the Centum brand is today recognized nationally and
across the continent as a credible, reliable and preferred investment partner."
"Costs at below 2% of total
assets","We maintained operating costs at an average of 1.5% of total assets and by the time we closed the
2018/2019 financial year costs as a proportion of assets were at 0.9%."
