Kshs. m,Group,Column
,Sept’10,Sept’09
Cash generated from operations and investing activities,"(1,699)",(318)
Cash from financing activities,953,(5)
Decrease in cash,(746),(323)
Opening cash,393,(160)
Closing cash,(353),(483)
