Column,"KEY RISK
CATEGORY",RISK DESCRIPTION,"POTENTIAL
IMPACT",RISK MANAGEMENT AND MITIGATION
"Growth
Portfolio:
Real Estate","Market Uptake
Risk","Risk of less than expected
sale of units developed",Return,"• Achieving 30% presales before
groundbreaking on projects, and
continuously selling during construction
with a target to complete sales with 24
months of ground-breaking.
• Partnering with financial institutions to
provide mortgage funding."
,Funding Risk,"Risk that there will be
inadequate project
construction funds",Return,"Market validation before start of projects and
securing both equity and debt funding prior
to or immediately after groundbreaking."
,Liquidity Risk,"Risk of inability to meet
obligations as they fall due
or fulfilling obligations while
incurring high finance costs",Return,"Sources of liquidity have been enhanced
through; improvement in the rate and
quantum of customer deposit collections
and an increase in proceeds from disposal
of development rights. The share of profits
from completed projects remain available for
utilization for projects."
"Growth
Portfolio:
Private
Equity",Investment Risk,"The possibility that
there may not be many
opportunities meeting the
Fund II investment criteria","Delayed
Acquisitions","Screening a larger number of target
acquisitions and leveraging on our
relationships within East Africa with a
refreshed investment criteria."
,Exit Risk,"The risk of lower
realizations from exits due
to unfavorable industry/
private equity market
dynamics or lack of credible
investors.","Lower cash
proceeds
redistributed
to the
Company","Maintaining multiple potential exit
relationships."
"Marketable
Securities
Portfolio",Return Risk,"The possibility that the
MSP I and MSP II portfolios
achieve less than expected
returns","Lower cash
proceeds
redistributed
to the
Company","Disciplined portfolio construction guided by
the Investment Policy statement, currently
skewed towards Fixed Income Instruments
with good credit ratings and liquidity profile."
