Kes. M,2010,2011,2012,2013,2014,2015,HY2016
"Total Debt - 1,988 1,000 4,149 5,492 7,569",,,,,,,"10,348"
"Cash 394 7 322 1,502 844 3,673",,,,,,,"3,230"
"Net Debt (Total debt less cash) - 1,988 678 2,647 4,649 3,896",,,,,,,"7,118"
"Equity 9,157 12,552 13,685 16,137 22,936 31,938",,,,,,,"34,669"
Gearing,-,16%,5%,16%,20%,12%,21%
Liquidity (KES Bn),2.1,0.2,1.5,2.7,1.5,5.9,5.2
