"James Mworia, CEO",Column
Experience,"• Over 10 years investment management experience
• Joined Centum in 2001"
Transactions,"• Closed PE & RE Transactions in South Africa, Tanzania, Kenya &
Uganda"
Investee Boards,"• UAP Group, UAP Life, General Motors EA, Servair - NAS & Nairobi
Bottlers"
Qualifications,"• LLB - University of Nairobi, CFA, ICPAK, CIMA and LSK"
Awards,"• Africa Young Business Leader of the year 20111, No. 1 Kenya Top 40
under 402, Forbes 10 Youngest Power Men in Africa,"
