Kes. M,HY2014,HY2014
Internally generated funds:,,
"Operating inflows 3,168 1,587",,
Operating outflows (476) (201),,
"2,691 1,386",,
Investing activities:,,
"Equity & Investment Property (2,838) (1,697)",,
Equipment & intangibles (16) (8),,
"(1,705)
(2,854)",,
Financing Activities:,,
Interest paid (390) (287),,
(390) (287),,
Net Increase/(Decrease) (606) (606),,
Opening cash,(477),"1,502"
Closing cash & cash equivalents,"(1,030)",896
