Kes. m,2012,2011,PE,QPE,RE&I
Activity,,,,,
Investments,"(4,455)","(4,537)",(100),"(4,244)",(111)
Realization proceeds,"1,803","1,936",111,"1,692",-
Net investments,"(2,652)","(2,601)",11,"2,552",(111)
Return,,,,,
Gross Return,"1,810","3,843","1,372",76,362
Total Return,"1,133","3,395","1,245",(55),(65)
Return on opening equity,9%,37%,16%,(1)%,(7)%
Cost efficiency,1.9%,2.1%,,,
Financial Position,,,,,
Total AUM,"14,694","14,463","8,556","2,146","3,993"
Net asset value,"13,685","12,552","8,609","2,474","2,603"
