"Salary/
honoraria",Fees,"Expense
allowances",Total
,Shs’000,"Shs’000
647
3,782
2,201
245
-
-
689
1,272
1,027
2,100
2,378
440
376
900
480
1,811
1,606",Shs’000
,-,,"2,479"
,-,,"9,800"
,324,,"3,085"
,276,,921
,600,,600
,600,,600
,600,,"1,289"
,324,,"1,596"
,324,,"1,351"
,324,,"2,424"
,324,,"2,702"
,234,,674
,187,,563
,234,,"1,134"
,276,,756
,-,,"1,811"
,-,,"1,606"
,"4,627","19,954","33,391"
