New standards or amendments,Explanation
"Amendments to IFRS 3-
Reference to the Conceptual
Framework","Reference to 2018 Conceptual Framework instead of the 1989
Framework. Priority application of IAS 37or IFRIC 21 by the acquirer
to identify acquired liabilities. No recognition of contingent assets
acquired allowed."
"Amendments to IAS 16- Proceeds
before intended use","The amendments prohibit a Company from deducting from the cost
of property, plant and equipment amounts received from selling
items produced while the Company is preparing the asset for its
intended use. Instead, a Company will recognize such sales proceeds
and related cost in profit or loss."
"Amendments to IAS 37- Onerous
contracts cost of fulfilling a
contract","Clarification that all costs directly attributable to a contract must be
considered when determining the cost of fulfilling a contract."
"IASB Annual improvement
project- IFRS 1 First-time
adoption of International
Financial Reporting Standards","The amendment provides additional relief to a subsidiary which
becomes a first-time adopter later than its parent in respect of
accounting for cumulative translation differences."
"IASB Annual improvement
project- IFRS 9 Financial
Instruments – Fees in the ’10 per
cent’ test for derecognition of
financial liabilities","The amendment clarifies that in applying the ""10 per cent"" test to
assess whether to derecognise a financial liability, an entity includes
only fees paid or received between the entity (the borrower) and
the lender, including fees paid or received by either the entity or the
lender on the other’s behalf."
"IASB Annual improvement
project- IAS 41 Agriculture
– Taxation in fair value
measurements","The amendment removes the requirement in IAS 41 for entities to
exclude cash flows for taxation when measuring fair value. This aligns
the fair value measurement in IAS 41 with the requirements of IFRS
13 Fair Value Measurement to use internally consistent cash flows
and discount rates and enables preparers to determine whether to
use pre-tax or post-tax cash flows and discount rates for the most
appropriate fair value measurement."
