Wajumbe wa bodi,Nafasi katika bodi,Mikutano 14
Balozi. (Mhandisi.) Mahboub Mohamed,Mwenyekiti,14/14
Bw. Henry Rotich,"Waziri, Wizara ya Fedha",-
Dkt. Mhandishi. Joseph Njoroge,"Katibu mkuu, wizara ya kawi",1/1
Bw. Bernard Ngugi,"Mkurugenzi mkuu & mkurugenzi mtendaji
(alijiunga Oct.2019)",9/9
Bw. Wilson Mugung’ei,Mjumbe,13/14
Bw. Adil Khawaja,Mjumbe,11/14
Bw. Kairo Thuo,Mjumbe,13/14
BI. Brenda Eng’omo,Mjumbe,13/14
Mweshimiwa. Zipporah Kering,Mjumbe,14/14
Mhandisi. Isaac Kiva,"Katibu, Wizara ya Kawi",14/14
Bi. Beatrice Gathirwa,Mwakilishi wa Waziri wa Fedha,12/14
Mhandisi. Jared Othieno,"Kaimu mkurugenzi mkuu na mkurugunzi mtendaji
(aliondoka Oct.2019)",5/5
