Type of payment,Chairman,Memb
Honoraria (per month),"Shs 80,000",N
Sitting allowance (per sitting),"Shs 20,000","Shs 20,0"
Telephone – airtime for mobile phone (per month),"Shs 20,000",N
Transport allowance/mileage,N/A*,"Automobile Associati
of Kenya (AAK) rat"
Lunch allowance,"Shs 2,000","Shs 2,0"
Director’s fees per annum on prorata basis,"Shs 600,000","Shs 600,0"
Director’s bonus,N/A,N
Accommodation allowance outside Nairobi,"Shs 18,200","Shs 18,2"
