Column,2023,2022
,Shs’000,Shs’000
At start of year,"758,170","793,383"
Preference dividends - 4% and 7% cumulative preference shares,"1,930","1,930"
At end of year,"(1,612)","(758,170)"
Dividends paid,"8,488","37,143"
