Column,2023,2022
,Shs’000,Shs’000
Authorised:,,
"2,592,812,000 ordinary shares of Shs 2.50 each","6,482,030","6,482,030"
Issued and fully paid:,,
"1,951,467,045 ordinary shares of Shs 2.50 each","4,878,667","4,878,667"
