Column,2023,2022
,Shs’000,Shs’000
Property,"7,115,350","7,291,510"
Debt instruments,"4,819,346","5,937,694"
Equity instruments,"2,449,282","2,773,987"
Others,"1,307,850","922,592"
Total scheme assets,"15,691,828","16,925,783"
