"MAIN TYPE OF
CUSTOMERS COVERED
BY THIS TARIFF",TARIFF,2018/19,2019/20,2020/21,2021/22,2022/23
Domestic,DC only,,,,,
KPLC,,"5,390,996","5,775,839","6,059,698","6,475,912","6,646,169"
REP,,"1,291,141","1,380,590","1,792,353","1,979,638","2,092,341"
Small Commercial,SC only,,,,,
KPLC,,"251,614","277,989","285,277","319,665","327,293"
REP,,"117,705","121,794","119,619","120,619","121,855"
"Large Commercial and
Industrial",CI1,,,,,
KPLC,,"3,038","2,951","2,871","3,108","3,301"
REP,,22,32,34,42,55
"Large Commercial and
Industrial",CI2,,,,,
KPLC,,456,480,507,540,565
"Large Commercial and
Industrial",CI3,,,,,
