Column,"Classification
Under IAS 39","Classification
Under IFRS 9","IAS 39 Carrying
Amount","IFRS 9 Carrying
Amount",Impact
,,,Shs ‘000,Shs‘000,Shs‘000
FINANCIAL ASSETS,,,,,
"Trade and other
receivables","Loans and
receivables","Amortised
Cost","36,606,679","31,705,447","4,901,232"
Short-term deposits,"Loans and
receivables","Amortised
Cost","491,991","485,426","6,565"
"Bank and cash
balances","Loans and
receivables","Amortised
Cost","4,777,038","4,755,558","21,480"
Total assets,,,"41,875,708","36,946,431","4,929,277"
FINANCIAL LIABILITIES,,,,,
"Trade and other
payables",Amortised cost,Amortised cost,"71,356,116","71,409,451","53,335"
Net Impact,,,,,"4,982,612"
