Column,2019,2020,2021,2022,2023
,,,Restated,Restated,
,KSH M,KSH M,KSH M,KSH M,KSH M
"Net
Work
Capit","ing (70,970)
al","(74,849)","(66,851)","(56,535)","(51, 234)"
