"NAME OF P
DIRECTOR B","OSITION IN THE
OARD","Board St
In
Co","rategy &
novation
mmittee","Finance &
Risk
Committee","Corporate
Governance
Committee","Audit
Committee Co
HR I","Ad Hoc Tec
mmittee on Com
nstruments (A"
,,MEETINGS ATTENDED,,,,,
,,"Fourteen S
(14)",even (7),"Fourteen
(14)","Fourteen
(14)",Six (6),Five (5) F
"Joy Brenda C
Masinde J","hairman
oined 16.12.2022)",6/6,1/1*,-,2/2*,-,3/3*
"Dr. (Eng.) M
Joseph Siror C","anaging Director &
EO (Joined 2.5.2023)",1/1,2/2,3/3,6/6,1/1*,3/3
"Prof. Njuguna C
Ndung’u (","S, National Treasury
Joined 27.9.2022)",-,-,-,-,-,-
"Alex Wachira P
(","S, Energy
Joined 2.12.2022)",-,-,-,-,-,-
"Kairo Thuo M
(","ember
Since 13.11.2020)",10/14,1/1*,2/2*,1/1*,"Chair
6/6",-
"Dr. Duncan M
Ojwang (","ember
Joined 16.12.2023)",5/6,6/6,8/9,1/1*,-,4/5
"Eng. Albert M
Mugo (","ember
Joined 16.12.2023)",6/6 C,hair 6/6,2/2*,1/1*,2/2,-
"Logan M
Hambrick (","ember
Joined 16.12.2023)",6/6,1/1*,2/2*,"Chair
11/11",2/2,5/5
"Veska M
Kangogo (","ember
Joined 16.12.2023)",6/6,1/1*,"Chair
8/9",11/11,-,"5/5
Chair"
"Humphrey A
Muhu N
(","lternate to CS,
ational Treasury
Since 25.6.2021)",13/14,-,13/14,2/2*,6/6,5/5
"Eng. Benson A
Mwakina E
(","lternate to PS,
nergy
Since 19.10.2021)",13/14,7/7,5/5,12/13,1/1*,4/5
Vivienne Yeda L,eft 16.12.2022,8/8,-,-,-,-,-
"Eng. Geoffrey C
Muli 2","eased as MD on
.5.2023",13/13,5/5,11/11,8/8,5/5*,2/2
Yida Kemoli L,eft 16.12.2022,8/8,-,5/5,-,3/3*,-
"Eng. Sarah J
Mbwaya 1","oined 26.7.2022 Left
6.12.2022",6/6,-,3/5,3/3,2/2*,-
"Brig (Rtd) J
James Gitiba 1","oined 26.7.2022 Left
6.12.2022",4/6,1/1,1/1*,,3/4,-
"Justice (Rtd) J
Aaron Ringera 1","oined 24.8.2022 Left
6.12.2022",6/6,-,-,3/3,3/4,-
"Maj. Gen (Rtd) L
Dr. Gordon
Kihalangwa",eft 27.9.2022,-,-,-,-,-,-
