Range,No. of Shareholders,Shares
"<1,000",81,"21,862"
"1001–10,000",15,"44,141"
"10,001–50,000",3,"86,432"
"50,001–100,000",1,"57,617"
"Over 100,000",1,"139,948"
Total,101,"350,000"
