nge,No. of Shareholders,Shares
",000","15,902","5,057,495"
"01–10,000","11,869","39,493,030"
",001–50,000","3,312","72,337,608"
",001–100,000",761,"54,566,976"
"0,001-1000,000",899,"259,649,691"
"ver 1,000,000",146,"1,520,362,245"
tal,"32,889","1,951,467,045"
