REGION,"AS AT 30th
JUNE 2019",Column,Column,Column,Column,Column
,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Nairobi North,"514,003","626,662","720,180","759,903","826,236","867,931"
Nairobi South,"462,108","590,731","746,961","819,603","837,062","887,771"
Nairobi West,"358,279","482,759","632,433","655,504","686,405","727,005"
Coast,"297,985","400,679","490,290","543,009","537,383","580,873"
Central Rift,"235,729","340,165","434,163","475,725","509,750","571,900"
West Kenya,"215,237","265,700","396,691","454,108","326,402","507,726"
North Rift,"156,858","242,328","287,296","315,735","474,362","349,635"
South Nyanza,0,"104,161","146,580","171,701","175,759","191,690"
Mt Kenya,"244,936","320,137","412,605","487,120","519,602","565,945"
North Eastern,"423,579","545,033","645,573","746,473","765,644","822,726"
KPLC Customers,"2,908,714","3,918,355","4,912,772","5,428,881","5,658,605","6,073,202"
R.E.P. Customers,"703,190","972,018","1,269,510","1,332,209","1,409,256","1,502,943"
TOTAL,"3,611,904","4,890,373","6,182,282","6,761,090","7,067,861","7,576,145"
% Increase P.A.,30.5%,35.4%,26.4%,9.4%,4.5%,7.2%
