Column,2022,2021
,Restated,Restated
,Shs’000,Shs’000
As previously reported,"272,335,824","277,305,389"
Restatements:,,
To reclassify leasehold land previously reported under freehold land,,"(18,400)"
"To adjust opening balance to recognise leasehold land previously
reported under freehold land in June 2021","(18,400)",-
To reclassify assets from freehold land to right of use,,"(34,820)"
"To adjust opening balance to recognise assets reclassified from
freehold land to right of use","(34,820)",
"To recognise assets under distribution lines and furniture equipment
asset classes",,"80,845"
"To adjust opening balance with assets recognised under distribution
lines and furniture equipment asset classes","80,845",-
To recognise depreciation charge for the restated assets,"(2,875)",-
Balance at end of year,"272,360,574","277,333,014"
