Item,Business,For,Against,Withheld
1.,"To receive, consider and adopt the Company’s Audited Financial
Statements for the year ended 30th June 2022, together with the
Chairman’s, Directors’ and Auditors’ Reports thereon.",,,
2.,Election of Directors:,,,
,"(i) The Cabinet Secretary, National Treasury retires by rotation
in accordance with Article 120 of the Memorandum and
Articles of Association of the Company and, being eligible,
offers himself for re-election.",,,
,"(ii) The Principal Secretary, Ministry of Energy retires by rotation
in accordance with Article 120 of the Memorandum and
Articles of Association of the Company and, being eligible,
offers himself for re-election.",,,
,"(iii) Eng. Sarah Mbwaya, who was appointed by the Board on
26th July 2022 to fill a casual vacancy in the Board, and
in accordance with Article 128 of the Memorandum and
Articles of Association of the Company, offers herself for
election.",,,
,"(iv) Brig. (Rtd) James Gitiba, who was appointed by the Board
on 26th July 2022 to fill a casual vacancy in the Board, and
in accordance with Article 128 of the Memorandum and
Articles of Association of the Company, offers himself for
election.",,,
,"(v) Justice (Rtd) Aaron Ringera, who was appointed by the
Board on 24th August 2022 to fill a casual vacancy in
the Board, and in accordance with Article 128 of the
Memorandum and Articles of Association of the Company,
and being over the age of seventy (70) years, in line
with the Capital Markets Authority’s Code of Corporate
Governance Practices for Issuers of Securities to the Public,
offers himself for election.",,,
3.,Election of Board Audit Committee Members:,,,
,"In accordance with the provisions of Section 769 of the
Companies Act 2015, the following Directors, being members
of the Board Audit Committee, will be required to be elected to
continue serving as members of the said Committee:
(i) Kairo Thuo (Chairman)
(ii) Humphrey Muhu
(iii) Justice (Rtd) Aaron Ringera
(iv) Brig. (Rtd) James Gitiba",,,
4.,"To approve payment of fees to non-executive Directors for the
year ended 30th June 2022.",,,
5.,"To note that the audit of the Company’s books of accounts will
continue to be undertaken by the Auditor-General, or an audit
firm appointed by her, in accordance with section 23 of The
Public Audit Act, 2015.",,,
6.,To authorise the Directors to fix the Auditors’ remuneration.,,,
