"Salary/
honoraria",Fees,"Expense
allowances",Total
,Shs’000,"Shs’000
9,773
3,484
-
-
1,564
1,803
747
845
457
2,427
2,033
2,979
1,603
100
2,436
2,128",Shs’000
,-,,"23,263"
,600,,"5,044"
,600,,600
,600,,600
,339,,"1,903"
,339,,"2,142"
,339,,"1,086"
,339,,"1,184"
,263,,720
,263,,"2,690"
,600,,"2,633"
,600,,"3,579"
,263,,"1,866"
,-,,100
,-,,"2,436"
,-,,"2,128"
,"5,145","32,379","51,974"
