REGION,2014/15,2015/16,2016/17,2017/18,2018/19
Nairobi,811,842,831,882,913
Coast,249,315,323,344,340
West Kenya,309,364,391,414,446
Mt. Kenya,148,177,171,167,185
TOTAL SYSTEM (SIMULTANEOUS),"1,512","1,586","1,656","1,802","1,882"
% INCREASE P.A.,3.0%,4.9%,4.4%,8.8%,4.4%
