ANNEXURE I : IMPLEMENTATION STATUS OF AUDITOR-GENERAL PRIOR YEAR RECOMMENDATIONS,Column,Column,Column
"Matter in the 2024
Auditor-General
Report","Status in
2025",Management Response,Timeframe
"Material Uncertainty
Relating to Going
Concern",Recurring,"The strategic initiatives put in place will strengthen the Company’s financial position and improve its
performance.
The working capital position continues to improve with the liability position decreasing from KShs.27,439
Million in June 2024 to KShs.19,209 Million in June 2025.
We have accelerated loan repayments; 2 loans are also scheduled to mature in FY2025/26 with significant
improvement on working capital.",30.06.2026
Land Without Titles,Recurring,"The Company has taken various steps towards expediting registration of the parcels by the relevant
Government agencies, including:
I. Collaboration with Government departments including request for support made to the Directorate of
Survey with a view to hastening survey processes covering survey and resurvey of various KPLC land
parcels. We have further closely collaborated with National Land Commission to progress issuance of
letters of allotments.
II. Engagement of external physical planners as consultants to complement the internal professional
capacity.
III. Corresponding with various agencies based on the stage of the process. These include county
governments, county land registrars under the Ministry of Lands and various offices at the National
Lands Commission.
IV. KPLC has maintained key ownership documents to support the titling and registration process.
V. Amongst the parcels under adjudication, the adjudication process for Kapkoiwa (Baringo) is complete
and is now at transfer to KPLC.
VI. Visits and enquiries to the Land Adjudication offices in various counties to make follow-up on progress
and provide information on KPLC’s interests.
Planning, adjudication, survey and subsequent registration of the previously unregistered areas is a
preserve of the National Government through the Ministry of Lands and is carried out as per the plans and
programs of the Ministry.All landowners (including KPLC) are therefore subject to the Ministry plans and
programs.""",30.06.2026
"Unsupported
decline in value of
leased land",Resolved,,
