ANNEXURE I : IMPLEMENTATION STATUS OF AUDITOR-GENERAL PRIOR YEAR RECOMMENDATIONS,Column,Column,Column
"Matter in the 2024
Auditor-General
Report","Status in
2025",Management Response,Timeframe
"Weaknesses
in project
management","Not
Resolved","Major challenges of materials availability has been addressed and project implementation has made
considerable progress.
Currently there are 4,293 valued at KShs.1,048,361,933 under implementation.
Additionally, project management framework has already been developed and is awaiting management
approval.",31.12.2025
"Weaknesses
in Electricity
Consumption
Billings","Not
Resolved",,30.06.2026
"Network
Inefficiencies Power
Losses",Recurring,"The segregation findings have been shared with the Ministry of Energy and the regulator with a view of
having the losses apportioned to each entity separately rather than have KPLC bear the responsibility for
the entire losses of the sector.
To exact the figure of actual losses for each of the network segments of Transmission and Distribution, The
Ministry of Energy has retained a consultant with support of the World Bank with task of segregation of
losses. The kickoff meeting was held on 15th October 2024 and the report should be completed by June
2025.","30 June
2026"
"Instabilities in the
Power Supply
Network",Resolved,"Management has in place robust plans to ensure enhanced grid stability and reduce the frequency of
interruptions experienced by customers as a strategy to also increase sales. Despite the plans in place and
their execution, two critical factors of intermittent generation impact and generation shortfall affected the
quality of supply.",
"Weaknesses in
Management of
Risks",Resolved,"Implementation of the recommendations arising out of the cited investigation reports, are either complete
or ongoing.
Engagement with stakeholders is ongoing, which is part of the expanded investigation.
Disciplinary action has been taken against implicated employees.",
