"Ordinary
share capital
(Note 23)","Share
premium
(Note 24)","Retained
earnings
(Note 25)",Total
,,,Shs’000
,,,"59,633,468"
,,,"(3,193,179)"
,,,"402,552"
,,,"(2,790,627)"
,,,"56,842,841"
,,,"56,842,841"
,,,"30,080,370"
,,,"390,951"
,,,"30,471,321"
,,,"87,314,162"
