Column,"2022
Shs’000","2021
Shs’000"
Balance at start year,"1,116,221","1,230,428"
Additions for the year,"145,049","223,501"
Interest charge (Note 11(b)),"125,143","145,469"
Payment of interest,"(125,143)","(145,469)"
Payment of principal,"(294,907)","(337,708)"
,"966,363","1,116,221"
