Column,2023,2022
,Shs’000,Shs’000
At start of year,"12,874,799","11,668,644"
Additions during the year,"4,959,187","5,496,193"
Transferred to deferred income during the year (Note 26),"(5,754,330)","(4,290,038)"
At end of year,"12,079,656","12,874,799"
