"enuJ 2202
ht03","361,9","72.717,1","000'
shS","452,353,751","908,414,71",")462,916,1(","545,597,51","049,693",")691,886,21(",")039,1("
"enuJ 1202
ht03","175,8","84.186,1","000'
shS","506,911,44","819,480,71",")869,707,6(","059,673,01","268,261",")421,050,9(",")039,1("
"enuJ 0202
ht03","171,8","78.036,1","000'
shS","206,852,33","622,213,5","235,201,6","857,414,11","881,321",")824,774,21(",")039,1("
"enuJ 9102
ht03","371,8","30.926,1","000'
shS","788,041,331","659,035,01",")160,27(","598,854,01","009,711",")242,513,01(",")039,1("
"enuJ 8102 )detatseR(
ht03","509,7","79.166,1","000'
shS","479,873,131","327,719,11",")146,996,1(","280,812,01","000,001",")625,740,7(",")039,1("
"enuJ 7102
ht03","717,7","36.465,1","000'
shS","072,247,021","635,256,31",")412,673,2(","223,672,11","400,64",")179,930,6(",")039,1("
"enuJ 6102
ht03","583,7","05.764,1","000'
shS","216,473,801","546,039,61",")438,588,4(","118,440,21","759,469",")572,118,5(",")039,1("
"enuJ 5102
ht03","031,7","83.794,1","000'
shS","525,367,601","874,938,51",")716,128,4(","168,710,11","869,083,1",")249,469,4(",")039,1("
"enuJ 4102
ht03","097,6","22.255,1","000'
shS","417,593,501","404,229,41",")363,120,4(","140,109,01","802,401",")238,800,4(",")039,1("
"enuJ 3102
ht03","571,6","38.934,1","000'
shS","626,909,88","045,149,8",")087,421,3(","067,618,5","645,111",")956,084,2(",")039,1("
"raey
dedne
roF","DLOS
STINU )hWG(","dleiy
dlos
egarevA stinu
)stnec(
fo",,"fo
euneveR elas yticirtcele
morf","gnitarepO
tfiorP","NOITAXAT /)EGRAHC(
TIDERC","TIFORP
NOITAXAT
ECNANIF /EMOCNI
EROFEB
RETFA STSOC
TEN",ecnaniF emocnI,"stsoC
ecnaniF","ecnereferP
sdnedivid
)ssorg("
