REGION,2015/16,2016/17,2017/18,2018/19,2019/20
Nairobi North,0.0,0.0,0.1,0.0,0.0
Nairobi South,0.0,5.7,12.9,0.1,0.2
Nairobi West,4.0,11.9,28.8,37.6,37.0
Coast,140.0,158.2,110.4,178.5,199.1
Central Rift,65,75,101,98,89
West Kenya,11,16,16,32,35
North Rift,40,29,19,21,23
South Nyanza,0,0,8,0,0
Mt Kenya,0,0,24,8,3
North Eastern,0,0,0,1,3
TOTAL,260,295,321,375,388
% INCREASE P.A.,-8.6%,13.5%,8.7%,17.1%,3.5%
