Item,Business,For,Against,Withheld
1,"To receive, consider and adopt the Company’s
Audited Financial Statements for the year
ended 30th June 2024, together with the
Chairman’s, Directors’ and Auditors’ Reports
thereon.",,,
2,"To approve payment of a first and final
dividend of Kshs. 0.70 per ordinary share,
subject to withholding tax where applicable,
in respect of the year ended 30th June 2024.",,,
3,"Directors:
Eng. James Rege who retires by rotation in
accordance with Article 26 of the Company’s
Articles of Association and, being eligible,
offers himself to be re-elected and retained as
a director, being over the age of seventy (70)
years.",,,
4,"Election of Board Audit Committee Members:
In accordance with the provisions of Section
769 of the Companies Act 2015, the following
Directors will be required to be elected
to serve as members of the Board Audit
Committee:
(i) Caleb Manyaga
(ii) Albert Mugo
(iii) Humphrey Muhu
(iv)Ezekiel Saina",,,
5,"To approve payment of fees to non-executive
Directors for the year ended 30th June 2024.",,,
6,"To note that the audit of the Company’s
books of accounts will continue to be
undertaken by the Auditor-General, or an
audit firm appointed by her, in accordance
with section 23 of The Public Audit Act, 2015.",,,
7,"To authorise the Directors to fix the Auditors’
remuneration.",,,
8,"To authorise the Directors to approve and
implement Company policies which have
been developed pursuant to provisions of
the Capital Markets (Public Offers, Listings
and Disclosures) Regulations, 2023 as
follows: Board remuneration policy; Effective
communication with stakeholders policy;
Corporate disclosure policies and procedures;
Dispute resolution for internal and external
disputes policy; and policy on ensuring
attraction and retention of board members.",,,
