Column,"2022
Shs’000","2021
Shs’000"
KEEP/KETRACO 132KV Transmission lines,"47,208","47,208"
KEEP/KETRACO 132/33KV substations,"107,391","44,996"
Interest paid on repayment of 2.5% Exim Bank Loan,"27,695","27,695"
Amount due from Ketraco on account of local costs*,"567,642","567,642"
"Amount due from Ketraco on 0.75% JICA loan (inclusive of
interest)","221,272","221,272"
Maintenance costs for Transmission lines,"703,593","684,759"
,"1,674,801","1,593,572"
