REGION,2015/16,2016/17,2017/18,2018/19,2019/20
Nairobi,842,831,882,913,905
Coast,315,323,344,340,337
West Kenya,364,391,414,446,445
Mt. Kenya,177,171,167,185,263
TOTAL SYSTEM (SIMULTANEOUS),"1,586","1,656","1,802","1,882","1,926"
% INCREASE P.A.,4.9%,4.4%,8.8%,4.4%,2.3%
