0-30,31-90,>90,2023
Shs’000,Shs’000,Shs’000,Shs’000
,,,"17,286,233"
,,,"2,523,558"
,,,"5,460,964"
,,,"7,091"
,,,"192,336"
,,,"25,470,182"
