Risks,Description,Mitigation
Integrity Risk,"Fraudulent acts in the Company committed
by employees, contractors or customers
create vulnerabilities to our internal
controls.","1. Enforcing the requirements of the code of
ethics.
2. Integrity testing on the wet areas.
3. Provision of a confidential whistleblowing
channel.
4. Conflict of interest declaration."
"Human Resource
Risk","Risk of performance and cost of responding
to workforce dynamics including age,
gender and Persons with Disabilities.
Inadequate implementation of Succession
Planning.
Availability or lack of technical skills among
Company staff to carry out its operations.
Reliance on contingent staff.
Uncompetitive salary.
Limited environment for career and talent
growth.","1. Develop and implement strategy for
succession planning.
2. Align Company objectives to job descriptions
at each level, with measurable performance
indicators.
3. Ensure clear career path is documented and
discussed with employees.
4. Facilitate exit and re-entry of staff at critical
points in their careers."
"Strategic - System
Expansion Risk","Optimal implementation of planned
projects.
If identification, selection and prioritization
is not done properly investments in
distribution network expansion and
upgrade may fail to achieve desired
return on investments and affect business
sustainability.","1. Update the distribution master plan.
2. Alignment of proposed projects to the
strategic plan.
3. Adherence to the master plan during projects
implementation.
4. Undertake project appraisal, monitoring and
evaluation."
Demand Risk,"Demand for power needs to grow in
tandem with growth in generation capacity
in order to manage impact on electricity
prices and the Company’s Power Purchase
Agreements commitment.","1. Promote Time of Use tariff to more industrial
customers.
2. Rescheduling of planned generation to
ensure least cost power development based
on realistic demand growth projections.
3. Pursue timely cost reflective tariffs.
4. Align the standard PPA template to the
provisions of the Energy Act 2019.
5. Lobby for implementation of the Energy
Auction model to replace Feed in Tariff
power generation procurement."
