ANNEXURE I : IMPLEMENTATION STATUS OF AUDITOR-GENERAL PRIOR YEAR RECOMMENDATIONS,Column,Column,Column
"Matter in the 2024
Auditor-General
Report","Status in
2025",Management Response,Timeframe
"Unprocedural
procurement of off-
grid generation fuel",Resolved,,
"Acting allowance
beyond the limit",Resolved,Majority of the positions were filled & the rest have been advertised for competitive filling.,
"Non-Compliance
with the One-Third
Basic Salary Rule",Recurring,,30.06.2026
"Non-Authentication
of Academic
Qualifications for
Employees",Recurring,3638 certificates had been forwarded to various institutions for verifications.,30.06.2026
"Non-Compliance
with Age Limit
requirement for
Appointment to
Board",Resolved,,
"Penalties on
Overdue Invoices",Recurring,"The interest in late payment of invoices is aimed at compensating the counterparties for payments made
outside the agreed credit period as provided for in the Power purchase agreement. KPLC incurred this
interest based on the following;
• Owing to the persistent negative working capital position of the business, KPLC had, over the last
seven years, accumulated overdue obligations for which payment plans had to be entered into with
the counterparties. In the year under review KPLC made payments of over KShs.24 billion (KenGen
KShs.5.2b, IPPs KShs.18.3b, Ketraco KShs.0.9b) over and above the annual invoice total in a deliberate
effort to reduce the overdue amounts that lead to penalty charges.
• Relatedly, if KPLC was to make payment of all outstanding obligations within the credit period, it would
have to borrow funds thus incurring a financing cost at the market rate that is much higher than the
charges incurred.
The acute shortage of foreign currency in the market over the past two years drove up the outstanding
obligations especially considering that a significant part of power purchase is denominated in foreign
currency. This was a situation beyond KPLC’s control and thus not avoidable.",30.06.2026
