Unit Sales (GWhrs),Column,"% of Unit
Sales"
1.63,"35,647",0.8%
110.03,"2,734,885",54.2%
18.79,"497,324",9.3%
35.04,"932,219",17.3%
29.14,"776,268",14.4%
8.35,"143,113",4.0%
202.98,"5,119,456",100%
