No,Risk,Risk Rating
1.,Financial Risk,25
2,Compliance Risk (Legal and Regulatory Risk),20
3,Competition Risk,16
4,Sovereign/Political Risk,16
5,Technological innovation risk,16
6,Information Security Risk,16
7,Integrity Risk,16
8,Human Resource Risk,12
9,Strategic Risk,12
10,Demand Risk,12
