Column,2023,2022
,Shs’000,Shs’000
"Authorised, issued and fully paid:",,
"350,000 - 7% cumulative preference shares of Shs 20 each","7,000","7,000"
"1,800,000 - 4% cumulative preference shares of Shs 20 each","36,000","36,000"
,"43,000","43,000"
