TABLE 1: TEN YEAR FINANCIAL AND STATISTICAL RECORDS,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
For year ended,"30th June
2014","30th June
2015","30th June
2016","30th June
2017","30th June
2018
(Restated)","30th June
2019","30th June
2020","30th June
2021
(Restated)","30th June
2022
(Restated)","30th June
2023"
UNITS SOLD (GWh),"6,790","7,130","7,385","7,717","7,905","8,173","8,171","8,571","9,163","9,567"
"Average yield of units
sold (cents)","1,552.22","1,497.38","1,467.50","1,564.63","1,661.97","1,629.03","1,630.87","1,681.48","1,717.27","1,996.18"
,Shs '000,Shs '000,Shs '000,Shs '000,Shs '000,Shs '000,Shs '000,Shs '000,Shs '000,Shs '000
"Revenue from sale of
electricity","105,395,714","106,763,525","108,374,612","120,742,270","131,378,974","133,140,887","133,258,602","144,119,605","157,353,254","190,974,954"
Operating Profit,"14,922,404","15,839,478","16,930,645","13,652,536","11,917,723","10,530,956","5,312,226","17,084,918","17,146,920","19,213,426"
"TAXATION
(CHARGE)/ CREDIT","(4,021,363)","(4,821,617)","(4,885,834)","(2,376,214)","(1,699,641)","(72,061)","6,102,532","(6,707,968)","(1,520,742)","1,240,677"
"NET PROFIT AFTER
TAXATION BEFORE
FINANCE INCOME/
COSTS","10,901,041","11,017,861","12,044,811","11,276,322","10,218,082","10,458,895","11,414,758","10,376,950","15,626,178","20,454,103"
Finance Income,"104,208","1,380,968","964,957","46,004","100,000","117,900","123,188","162,862","396,940","506,640"
Finance Costs,"(4,008,832)","(4,964,942)","(5,811,275)","(6,039,971)","(7,047,526)","(10,315,242)","(12,477,428)","(9,050,124)","(12,760,259)","(24,153,922)"
"Preference dividends
(gross)","(1,930)","(1,930)","(1,930)","(1,930)","(1,930)","(1,930)","(1,930)","(1,930)","(1,930)","(1,930)"
NET PROFIT ATTRIBUTABLE TO ORDINARY SHAREHOLDERS,,,,,,,,,,
"ORDINARY
SHAREHOLDERS","6,994,487","7,431,957","7,196,563","5,280,425","3,268,626","261,553","(939,482)","1,489,688","3,262,859","(3,193,179)"
"ORDINARY
DIVIDENDS (gross)","(390,293)","(975,733)","(975,733)","(585,440)","(975,734)",-,-,-,-,-
"OTHER
COMPREHENSIVE
INCOME","989,821","(1,995,966)","(168,673)","(740,849)","(68,486)","(1,165,286)","(395,560)","787,454","(498,836)","402,552"
"RETAINED PROFIT
FOR THE YEAR","7,594,015","4,460,258","6,052,157","3,954,136","2,224,406","(903,733)","(1,335,042)","2,277,142","2,764,023","(2,790,627)"
FUNDS GENERATED FROM OPERATIONS,,,,,,,,,,
"Profit/(Loss) for the
year after dividends","7,594,015","4,460,258","6,052,157","3,954,136","2,224,406","(903,733)","(1,335,042)","2,277,142","2,764,023","(2,790,627)"
Depreciation,"6,797,745","7,943,421","9,434,511","11,951,350","15,284,953","17,253,356","17,869,493","18,218,443","17,641,988","16,391,321"
,"14,391,760","12,403,679","15,486,668","15,905,486","17,509,359","16,349,623","16,534,451","20,495,585","20,406,011","13,600,694"
CAPITAL EMPLOYED,,,,,,,,,,
"Fixed Assets less
depreciation","168,155,851","196,301,330","233,714,593","262,347,609","273,376,882","277,066,960","276,859,904","277,333,014","272,360,574","267,974,466"
Intangible assets,"1,410,044","1,418,599","2,602,033","2,593,483","3,842,816","3,491,263","2,380,739","1,480,429","613,312","1,664,133"
Leasehold land,"131,598","131,543","868,519","868,463","813,423","883,126","667,014","659,686","644,822","685,694"
Investment,-,-,-,-,-,-,-,-,-,-
"Other non current
assets","817,423","8,372,135","5,079,411","4,133,291","4,001,887","2,342,637","2,732,763","3,177,952","2,017,954","2,359,422"
"Net current assets/
(Liabilities)","1,563,870","20,463,293","(2,793,900)","(17,535,199)","(56,012,987)","(70,969,861)","(74,848,822)","(66,937,941)","(56,534,952)","(51,233,931)"
,"172,078,786","226,686,900","239,470,656","252,407,647","226,022,021","212,814,125","207,791,598","215,713,140","219,101,710","221,449,784"
