Column,Column,Column,Column,Column,Column,Column,Column,Column,"443,522,470"
,,,,,,,,,"29,512,680"
,,,,,,,,,-
,,,,,,,,,"(1,238,820)"
At 30 June 2025,"785,940","13,577,281","33,321,027","313,094,424","1,333,476","8,948,795","76,976,445","23,758,942","471,796,330"
,,,,,,,,,"167,472,423"
,,,,,,,,,"17,013,989"
,,,,,,,,,"(464,543)"
At 30 June 2025,-,"3,485,319","17,127,836","101,111,611","560,751","7,267,955","54,468,397",-,"184,021,869"
,,,,,,,,,"275,214"
,,,,,,,,,"22,544"
,,,,,,,,,"297,758"
At 30 June 2025,"785,940","10,091,962","16,193,191","211,982,813","772,725","1,680,840","22,508,048","23,461,184","287,476,703"
