"Electricity
receivables","Prepaid
fixed charge","Other
receivables",Total
Shs’000,Shs’000,Shs’000,Shs’000
,,,"(25,270,755)"
,,,"(2,375,751)"
,,,"1,072,843"
,,,"(26,573,663)"
,,,"(22,949,002)"
,,,"(2,384,354)"
,,,"62,601"
,,,"(25,270,755)"
