2023,"At July
2022","Prior year
adjustments","(Credited)/
Charged
to profit or
loss","Credited
to OCI","At 30 June
2023"
,,,,,Shs’000
,,,,,"51,424,061"
,,,,,"(11,135,828)"
,,,,,"258,830"
,,,,,"334,968"
,,,,,"40,882,031"
,,,,,"(258,371)"
,,,,,"(9,508,033)"
,,,,,"(3,883,834)"
,,,,,"(14,315)"
,,,,,"(13,664,553)"
,,,,,"27,217,478"
