Column,"2022
Shs’000","2021
Shs’000"
Cost,,
At start of year,"8,087,672","7,836,854"
Additions,-,"250,818"
Disposal,-,-
At end of year,"8,087,672","8,087,672"
Amortisation,,
At start of year,"(6,607,243)","(5,456,115)"
Charge for the year,"(867,117)","(1,151,128)"
Charge on disposals,-,-
At end of year,"(7,474,360)","(6,607,243)"
Net book value,"613,312","1,480,429"
