Column,"2022
Shs’000","2021
Shs’000"
Property,"7,291,510","7,305,455"
Debt instruments,"5,937,694","6,709,827"
Equity instruments,"2,773,987","3,339,405"
Others,"922,592","1,226,945"
Total scheme assets,"16,925,783","18,581,632"
