Column,2023,2022
,Shs’000,Shs’000
Capital contribution - on-going projects**,"12,079,656","12,874,799"
Customer deposits*,"6,870,637","6,594,305"
Capital contributions-projects not commenced,"5,012,298","5,065,111"
Deferred creditor (Fibre optic),"55,878","133,807"
RES current account - capital (Note 37 (b) (iii)),"1,212,884","2,663,549"
Donor funds,"1,328,126","1,296,146"
Kenya Off-Grid Solar Access Project (KOSAP),"136,163","136,163"
Electrification of health facilities,"129,956","404,758"
Sub-Station Installation-GOK Funded Account,"150,000","150,000"
Nuclear electricity project,"11,847","11,874"
Other payables,"2,575,248","2,492,625"
,"29,562,693","31,823,137"
