Column,"2022
Shs’ million","2021
Shs’ million"
Interest-bearing loans and borrowings (Note 36 (b)),"103,848","109,562"
Cash and cash equivalents (Note 36 (b)),"(7,936)","(6,007)"
Net debt,"95,912","103,555"
Equity,"59,499","57,174"
Gearing ratio,161%,181%
