2024,"At July
2023","Prior year
adjustments","(Credited)/
Charged to
profit or loss","Credited
to OCI","At 30 June
2024"
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,,,,"54,922,605"
,,,,,"(7,789,492)"
,,,,,"199,141"
,,,,,"220,264"
,,,,,"47,552,518"
,,,,,"(192,445)"
,,,,,"(9,836,336)"
,,,,,-
,,,,,"(10,028,781)"
,,,,,"37,523,737"
