REGION,2019/20,2020/21,2021/22,2022/23,2023/24
,,,,"4,346","4,470"
,,,,"1,800","1,873"
,,,,840,850
,,,,349,485
,,,,137,386
,,,,479,145
,,,,548,558
,,,,"1,039","1,046"
,,,,"9,539","9,813"
,,,,667,660
,,,,27,43
,,,,"10,233","10,516"
,,,,4.28%,2.76%
