Column,Notes,2023,2
,,,Resta
,,Shs’000,Shs’0
Revenue from contracts with customers,7(a),"190,974,954","157,353,"
Cost of sales,8,"(143,575,530)","(117,346,6"
Gross profit,,"47,399,424","40,006,"
Net operating expenses,,,
Network management,9(a),"(20,664,395)","(20,261,"
Commercial services,9(b),"(2,976,823)","(4,784,1"
Administration,9(c),"(11,269,511)","(11,942,1"
Expected credit losses on financial assets,9(d),"(2,371,088)",831
,,"(37,281,817)","(36,155,5"
Operating income,,"10,117,607","3,851,"
Other income,7(c),"9,095,819","13,295,"
Operating profit,,"19,213,426","17,146,"
Finance income,11(a),"506,640","396,"
Finance costs,11(b),"(24,153,922)","(12,760,2"
(Loss)/Profit before income tax,,"(4,433,856)","4,783,"
Income tax credit/(expense),13(a),"1,240,677","(1,520,7"
(Loss)/Profit for the year,,"(3,193,179)","3,262,"
Basic and diluted earnings per share (Shs),14,(1.64),
(Loss)/Profit for the year,,,
,,"(3,193,179)","3,262,"
Other comprehensive income:,,,
Items that will not be subsequently reclassified to profit or lo,ss,,
Remeasurement of the retirement benefit asset,32,"538,392","(723,"
Remeasurement of the gratuity arrangement,33(c),"36,683","10,"
"Deferred income tax relating to remeasurement of the
retirement benefit asset and gratuity arrangement",27,"(172,523)","213,"
"Other comprehensive income, net of taxes",,"402,552","(498,8"
Total comprehensive income for the year,,"(2,790,627)","2,764,"
