Board Member,Column,Board Committees,Column,Column,Column
,,Strategy,"Corporate
Governance
&
Nomination","Risk &
Finance",Audit
"Amb. (Eng.) Mahboub
Mohamed",Chairman,-,-,-,-
Mr. Henry Rotich,"Cabinet Secretary, The
National Treasury",-,-,,
Dr. Eng. Joseph Njoroge,"Principal Secretary,
Ministry of Energy",,,,-
Eng. Jared Othieno,"Ag. Managing Director &
CEO",,,,-
Mr. Wilson Mugung’ei,Member,,-,-,
Mr. Adil Khawaja,Member,,,"
(Chair)",-
Mr. Kairo Thuo,Member,,-,-,"
(Chair)"
Mrs. Brenda Eng’omo,Member,-,"
(Chair)",,
Hon. Zipporah Kering,Member,"
(Chair)",,-,-
Eng. Isaac Kiva,"Alternate PS, Ministry of
Energy",-,-,-,-
Mrs. Beatrice Gathirwa,"Alternate to CS, The
National Treasury",-,-,-,-
