Column,"2022
Shs’000","2021
Shs’000"
Non-Executive Directors (Note 12),"4,632","4,800"
Other emoluments,,
Salaries and other short-term employment benefits:,,
Non-Executive Directors (Note 12),"10,213","26,022"
Executive Directors and key management staff,"31,276","30,385"
,"41,489","56,407"
,"46,121","61,207"
