Column,Column,Column,Column,"(26,573,663)"
,,,,"(960,321)"
Write back (Note 9 (d)),"4,962,684","53,211","396,859","5,412,754"
Write off,"993,907",-,-,"993,907"
,,,,"(21,127,323)"
