Column,2022,2021
,Restated,Restated
,Shs’000,Shs’000
As previously reported,"10,441,316","10,237,382"
Restatements:,,
To recognise depreciation on restated assets values,-,"51,116"
"To recognise infrastructure costs previously included in administration
costs to network expenses","9,551,233",-
To adjust for depreciation of restated assets,"2,875",
"To reclassify other off grid costs previously included in network
expenses to cost of sales (Note 8 (b))","265,728",-
Balance as at 30 June,"20,261,152","10,288,498"
