ANNEXURE I : IMPLEMENTATION STATUS OF AUDITOR-GENERAL PRIOR YEAR RECOMMENDATIONS,Column,Column,Column
"Matter in the 2024
Auditor-General
Report","Status in
2025",Management Response,Timeframe
"Comparative Cost
of Power Purchase
Between KenGen
and Independent
Power Producers",Recurring,,30.06.2026
"Failure to prepare
financial statements
for a Donor Project",Resolved,,
"Long Outstanding
Receivables from
Government
Entities",Recurring,"• The Company wrote to the MOE requesting the Cabinet Secretary to assist in demanding the sector
agencies to honour their commitments and settle the outstanding payments.
• The Company has since stopped invoicing the County Governments and has subsequently sought
MOEP approval for any County Street Lighting requirement. MOEP has since given consent for the
implementation of Street Lighting projects utilizing funds allocated for the National Street lighting
program. The Company is seeking assistance of the National Government in having the county
governments pay these amounts.
• The RES deficit of KShs.30,734,586,000 is an accumulation of carried forward deficit
KShs.26,926,060,000 plus current deficit of KShs.4,618,026,000 less part repayment of
KShs.809,500,000 by GOK in the year 2023/24. The KShs.19,400,000,000 provided in The MOEP
Budget is yet to be disbursed. The Company, on a monthly basis, provides the MOEP with a
reconciliation on RES Schemes, hence Ministry is aware of the increasing RES Deficit.",30.06.2026
