REGION,2014/15,2015/16,2018/19,2017/18,2018/19
Nairobi North,159,214,216,231,214
Nairobi South,164,153,157,163,152
Nairobi West,225,146,154,170,172
Coast,167,171,182,162,206
Central Rift,153,163,182,169,184
West Kenya,163,114,99,80,85
North Rift,85,77,79,90,34
south Nyanza,0,19,34,54,96
Mt Kenya,123,151,161,165,162
North Eastern,107,131,132,119,139
TOTAL,"1,346","1,339","1,395","1,403","1,444"
% INCREASE P.A.,4.0%,-0.6%,4.2%,0.6%,2.9%
