Item,Business,For,Against,Withheld
1,"To receive, consider and adopt the Company’s Audited Financial Statements for the
year ended 30th June 2020, together with the Chairman’s, Directors’ and Auditors’
Reports thereon.",,,
2,Election of Directors:,,,
,"(i) Mr. Kairo Thuo retires by rotation in accordance with Article 120 of the
Memorandum and Articles of Association of the Company and, being eligible,
offers himself for re-election.",,,
,"(ii) Mr. Sachen Gudka retires by rotation in accordance with Article 120 of
the Memorandum and Articles of Association of the Company and, being
eligible, offers himself for re-election.",,,
,"(iii) Eng. Abdulrazaq Ali retires by rotation in accordance with Article 120 of
the Memorandum and Articles of Association of the Company and, being
eligible, offers himself for re-election.",,,
3,"Election of Board Audit Committee Members:
In accordance with the provisions of Section 769 of the Companies Act 2015, the
following Directors being members of the Board Audit Committee will be required to
be elected to continue serving as members of the said Committee: -
(i) Mr. Sachen Gudka
(ii) Mrs. Beatrice Gathirwa
(iii) Ms. Caroline Kittony-Waiyaki
(iv) Eng. Elizabeth Rogo",,,
4,"To approve payment of fees to non-executive Directors for the year ended 30th June
2020.",,,
5,"To note that the audit of the Company’s books of accounts will continue to be
undertaken by the Auditor-General Kenya, or an audit firm appointed by her in
accordance with section 23 of The Public Audit Act, 2015.",,,
6,To authorise the Directors to fix the Auditors’ remuneration.,,,
