Column,2023,2022
,Shs’000,Shs’000
Fees for services as Director,,
Non-Executive Directors (Note 12),"4,627","4,632"
Other emoluments,,
Salaries and other short-term employment benefits:,,
Non-Executive Directors (Note 12),"16,485","10,213"
Executive Directors and key management staff,"28,708","31,276"
,"45,193","41,489"
,"49,820","46,121"
