Column,22/1202,"055,577,2","539,046","844,186","004,445","430,904","636,802","610,246","786,619","607,818,6","437,001,2","044,919,8",%7.7
,12/0202,"495,366,2","500,895","069,965","734,215","188,063","408,391","168,826","512,838","757,563,6","744,219,1","402,872,8",%3.9
,02/9102,"707,284,2","378,085","009,175","627,705","536,943","096,191","549,565","627,228","202,370,6","349,205,1","541,675,7",%2.7
,91/8102,"307,943,2","383,735","057,905","204,623","263,474","957,571","206,915","446,567","506,856,5","652,904,1","168,760,7",%5.4
,81/7102,"010,532,2","900,345","527,574","801,454","537,513","107,171","021,784","374,647","188,824,5","902,233,1","090,167,6",%4.9
,NOIGER,iboriaN,tsaoC,"tfiR
lartneC","ayneK
tseW","tfiR
htroN","aznayN
htuoS","ayneK
tM","nretsaE
htroN","sremotsuC
CLPK","sremotsuC
.P.E.R",LATOT,".A.P
esaercnI
%"
"200
THE KENYA POWER AND LIGHTING COMPANY PLC
ANNUAL REPORT AND FINANCIAL STATEMENTS FOR THE YEAR ENDED 30TH JUNE 2022",,,,,,,,,,,,,
