Column,On demand,>3 months,3 -12 months,1-5 Years,>5 years,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
At 30 June 2023,,,,,,
Borrowings,-,-,"20,951,195","43,376,158","78,741,303","143,068,656"
"Trade and other
payables","429,681","71,811,382","24,114,826","971,283","13,290,082","110,617,254"
Lease liabilities,-,-,"309,655","560,812","396,423","1,266,890"
Dividends payable,"751,612",-,-,-,-,"751,612"
,"1,181,293","71,811,382","45,375,676","44,908,253","92,427,808","255,704,412"
At 30 June 2022,,,,,,
Borrowings,-,-,"17,138,208","44,813,531","61,969,254","123,920,993"
"Trade and other
payables",-,"52,262,287","26,026,902","1,406,547","14,647,420","94,343,156"
Lease liabilities,-,-,"392,392","673,860","444,578","1,510,830"
Dividends payable,"758,170",-,-,-,-,"758,170"
,"758,170","52,262,287","43,557,502","46,893,938","77,061,252","220,533,149"
